PlayerID,FirstName,LastName,WAR
81,Mitchell,Owen,0.9717137553938543
95,Glenn,Maxwell,0.9303112791272331
21,Jason,Behrendorff,0.880709996306288
40,Will,Sutherland,0.8305737294839415
18,Ashton,Agar,0.7829200867193316
56,Matthew,Short,0.7109223593518682
51,Chris,Green,0.6688349104882153
120,Mark,Steketee,0.6417328300953424
14,Cooper,Connolly,0.639339384910569
42,Tom,Rodgers,0.6274829697592654
94,Ben,Duckett,0.6042381784676679
70,Matthew,Renshaw,0.5944054255767481
61,Jamie,Overton,0.570447591778642
12,Finn,Allen,0.557580797766118
45,David,Warner,0.5546210433078014
4,Marcus,Stoinis,0.5509374510350884
114,Joel,Paris,0.5321755971806821
41,Fergus,O'Neill,0.5308516969491811
23,Josh,Philippe,0.5077677862965786
87,Nathan,Ellis,0.4880555270013763
19,Jhye,Richardson,0.45356096240546495
49,Sam,Billings,0.44989192524355576
67,D'Arcy,Short,0.44648031811442035
112,Tom,Andrews,0.44077233495939544
43,Adam,Zampa,0.43333995295405536
107,Usama,Mir,0.429209718140536
11,Peter,Siddle,0.42433792825414
22,Lance,Morris,0.4201501637877861
72,Max,Bryant,0.4123144653713012
16,Ashton,Turner,0.4045737622978872
58,Chris,Lynn,0.40272602952108316
85,Tim,David,0.402719917221686
36,Tim,Seifert,0.39671669549407257
24,James,Vince,0.3929702313239466
91,Jacob,Bethell,0.3803165348294867
134,Steven,Smith,0.3766165068721303
54,Lockie,Ferguson,0.36333560133302245
28,Jack,Edwards,0.36291007215023274
32,Ben,Dwarshius,0.34835652146585205
110,Spencer,Johnson,0.3454007904890095
84,Nikhil,Chaudhary,0.32612193088528313
60,Alex,Ross,0.31663291192324144
55,Tanveer,Sangha,0.3060556188477524
80,Matthew,Wade,0.2940839872158317
88,Riley,Meredith,0.29269681817491694
102,Nathan,McSweeney,0.2867341852097321
117,Brendan,Doggett,0.2730839315458045
86,Chris,Jordan,0.2694673416200108
26,Moises,Henriques,0.26317093576066297
44,Kane,Richardson,0.26221838331956343
17,Nick,Hobson,0.2613134968959289
92,Ollie,Pope,0.2607321823038815
