PlayerID,FirstName,LastName,Team,Runs_x,Balls,PPRuns_x,PPBalls,PSRuns_x,PSBalls,MORuns_x,MOBalls,PPRAA,MORAA,PSRAA,BattingRAA,Catches,Run Outs,GP,CPM,RPM,CRAA,RRAA,FieldingRAA,Overs,Runs_y,PPOvers,PPRuns_y,PSOvers,PSRuns_y,MOOvers,MORuns_y,PPEcon,MOEcon,PSEcon,PPERAA,MOERAA,PSERAA,ERAA,Proj Diff,Exp. Diff,WRAA,BowlingRAA,RAA,RAA Adj,ARAA,ReplacementRAA,RAR,WAR,WARPG
81,Mitchell,Owen,HH,308.0,165.0,199.0,97.0,5.0,3.0,104.0,65.0,73.62548476454295,18.91861050511831,-0.3476702508960574,92.1964250187652,8.0,1.0,9,0.8888888888888888,0.1111111111111111,21.913875598086122,3.223684210526315,25.137559808612437,9.0,79.0,0.0,0.0,0.0,0.0,9.0,79.0,0.0,8.777777777777779,0.0,0.0,-5.219614417435036,0.0,-5.219614417435036,11.0,13.695743685687559,-2.6957436856875585,-7.915358103122594,109.41862672425503,-0.3090636645677749,109.10956305968726,70.65748168817579,179.76704474786305,0.9717137553938543,0.1079681950437616
95,Glenn,Maxwell,MS,297.0,153.0,0.0,0.0,66.0,40.0,231.0,113.0,0.0,83.08927672428258,-5.3022700119474395,77.78700671233514,13.0,0.0,8,1.625,0.0,48.92344497607655,-1.5789473684210529,47.3444976076555,6.0,61.0,3.0,24.0,1.0,25.0,2.0,12.0,8.0,6.0,25.0,0.11999999999999744,4.395641240569994,-14.120711562897077,-9.605070322327085,5.0,9.130495790458372,-4.130495790458372,-13.735566112785458,111.39593820720518,-0.26672617627081946,111.12921203093435,60.97837460760376,172.10758663853812,0.9303112791272331,0.11628890989090414
21,Jason,Behrendorff,PS,22.0,17.0,0.0,0.0,0.0,2.0,22.0,15.0,0.0,2.3658331934888395,-3.5651135005973718,-1.1992803071085323,6.0,0.0,10,0.6,0.0,9.904306220095691,-1.9736842105263162,7.930622009569375,39.166666666666664,296.0,19.0,108.0,7.0,66.0,13.166666666666664,122.0,5.684210526315789,9.265822784810128,9.428571428571429,44.759999999999984,-14.062028499580892,10.155019059720463,40.85299056013956,94.0,59.6018475210477,34.3981524789523,75.25114303909186,81.9824847415527,-0.35563490169442596,81.62684983985827,81.30449947680502,162.93134931666327,0.880709996306288,0.0880709996306288
40,Will,Sutherland,MR,191.0,146.0,0.0,0.0,37.0,21.0,154.0,125.0,0.0,-9.618056720926322,-0.4336917562724088,-10.051748477198732,6.0,0.0,10,0.6,0.0,9.904306220095691,-1.9736842105263162,7.930622009569375,33.333333333333336,277.0,6.0,45.0,3.0,37.0,24.333333333333336,195.0,7.5,8.013698630136986,12.333333333333334,3.239999999999995,4.480301760268265,-4.362134688691231,3.3581670715770287,92.0,50.72497661365763,41.27502338634237,44.6331904579194,42.51206399029004,-0.48829236502488643,42.02377162526515,111.63236832926403,153.65613995452918,0.8305737294839415,0.08305737294839415
18,Ashton,Agar,PS,66.0,49.0,0.0,0.0,19.0,12.0,47.0,37.0,0.0,-1.4309447893941962,-2.390681003584234,-3.8216257929784305,6.0,1.0,9,0.6666666666666666,0.1111111111111111,11.913875598086122,3.223684210526315,15.137559808612437,30.0,175.0,0.0,0.0,1.0,9.0,29.0,166.0,0.0,5.724137931034483,9.0,0.0,71.7367979882649,1.8792884371029235,73.61608642536783,32.0,45.65247895229186,-13.652478952291858,59.96360747307597,71.27954148870998,-0.3231761606667601,70.95636532804322,73.88385071503313,144.84021604307634,0.7829200867193316,0.08699112074659239
56,Matthew,Short,AS,236.0,138.0,103.0,68.0,20.0,9.0,113.0,61.0,15.108587257617733,33.15438832018795,3.9569892473118267,52.21996482511751,5.0,0.0,7,0.7142857142857143,0.0,10.933014354066986,-1.3815789473684212,9.551435406698564,15.0,129.0,4.0,41.0,0.0,0.0,11.0,88.0,10.25,8.0,0.0,-8.840000000000003,2.176026823134965,0.0,-6.6639731768650385,26.0,22.82623947614593,3.173760523854071,-3.4902126530109676,58.2811875788051,-0.32176491105686156,57.95942266774824,73.56121381234739,131.52063648009562,0.7109223593518682,0.10156033705026689
51,Chris,Green,ST,58.0,47.0,0.0,0.0,17.0,16.0,41.0,31.0,0.0,0.4227219332102689,-11.520908004778976,-11.098186071568707,3.0,1.0,8,0.375,0.125,-1.0765550239234467,3.421052631578947,2.3444976076555,31.0,227.0,2.0,23.0,0.0,0.0,29.0,204.0,11.5,7.0344827586206895,0.0,-6.920000000000002,33.73679798826491,0.0,26.81679798826491,78.0,47.17422825070159,30.82577174929841,57.64256973756332,48.888881273650114,-0.3288211591063541,48.56006011454376,75.17439832577607,123.73445844031983,0.6688349104882153,0.08360436381102691
120,Mark,Steketee,MS,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.3089444537674106,0.0,-0.3089444537674106,1.0,0.0,5,0.2,0.0,-5.0478468899521545,-0.9868421052631581,-6.034688995215313,18.5,129.0,9.0,55.0,0.0,0.0,9.5,74.0,6.111111111111111,7.7894736842105265,0.0,17.359999999999996,3.8792958927074674,0.0,21.239295892707464,96.0,28.152362020579982,67.84763797942001,89.08693387212747,82.74330042314475,-0.15805995630863376,82.58524046683611,36.13533310080223,118.72057356763834,0.6417328300953424,0.1283465660190685
14,Cooper,Connolly,PS,351.0,267.0,49.0,58.0,44.0,24.0,258.0,185.0,-25.96620498614958,15.845276053029025,1.2186379928315318,-8.902290940289024,1.0,0.0,10,0.1,0.0,-15.095693779904307,-1.9736842105263162,-17.069377990430624,24.0,178.0,0.0,0.0,0.0,0.0,24.0,178.0,0.0,7.416666666666667,0.0,0.0,18.747694886839916,0.0,18.747694886839916,30.0,36.52198316183349,-6.521983161833489,12.225711725006427,-13.745957205713221,-0.5800235896682899,-14.325980795381511,132.60376700383677,118.27778620845525,0.639339384910569,0.0639339384910569
42,Tom,Rodgers,MR,99.0,77.0,0.0,0.0,13.0,8.0,86.0,69.0,0.0,-4.317167309951337,-1.260454002389488,-5.577621312340825,4.0,0.0,10,0.4,0.0,-0.09569377990430727,-1.9736842105263162,-2.0693779904306235,36.333333333333336,306.0,17.0,136.0,6.0,63.0,13.333333333333336,107.0,8.0,8.024999999999999,10.5,0.6799999999999855,2.30427493713331,2.275730622617541,5.260005559750836,79.0,55.290224508886816,23.709775491113184,28.96978105086402,21.322781748092574,-0.4163186349200621,20.90646311317251,95.17788629229159,116.0843494054641,0.6274829697592654,0.06274829697592654
